Service ID,name,Address,Postcode,Phone,Fax,Service Provider / NHS Trust,Commissioner / CCG,Email
AMR,Aberdeen Mobility and Rehabilitation Services,Woodend Hopsital Eday Road   Aberdeen City of Aberdeen,AB15 6LS,01224 556840,01224 556842,NHS Grampian,NHS Grampian,
BLWS,Bedfordshire and Luton Wheelchair Service,The Verandah Steppingley Hospital Froghall Road STEPPINGLEY Bedford Bedfordshire,MK45 1AB,01525 631349,01525 631190,South Essex Partnership Trust (SEPT),Bedfordshire CCG's and Luton CCG's,wheelchairs.admin@sept.nhs.uk
EBWS,East Berks Wheelchair Service,Mobility Centre (Wheelchair Service) St Mark's Hospital St Mark's Road  Maidenhead Berkshire,SL6 6DU,01753 - 638647,01753 - 638648,Berkshire NHS,East Berks Wheelchair Service,
WBWS,West Berkshire Wheelchair Service,Royal Berkshire Hospital West Drive Buildings West Drive London Road Reading Berkshire,RG1 5AN,0118 3226706,0118 3227972,Royal Berkshire NHS Foundation Trust,Royal Berkshire NHS Foundation Trust,
BUWS,Buckinghamshire Wheelchair Service,Amersham Hospital Whielden Street   Amersham Buckinghamshire,HP7 0JD.,01494 734046,01494 734746,Buckinghamshire Healthcare NHS Trust,Aylesbury Vale CCG & Chiltern CCG,
MKWS,Milton Keynes Wheelchair Service,Equipment Services Whalley Drive Bletchley  Milton Keynes Buckinghamshire,MK3 6EN,01908 379385,01908 650407,Milton Keynes Community Health Service,Milton Keynes Community Health Service,MKWheelchairs@mkpct.nhs.uk
HUWS,Huntingdon Wheelchair Service,Lower Pendrill Court   Papworth Everard Cambridge Cambridgeshire,CB23 3UY,01480 830495,01480 839154,Cambridgeshire Community Services,Cambridgeshire Community Services,wheelchairservice@cambridgeshirepct.nhs.uk
PWS,Peterborough Wheelchair Services,City Care Centre Thorpe Road   Peterborough Cambridgeshire,PE3 6BD,01733 776160/776161,01733 776351,Peterborough   Hospitals NHS Foundation Trust,Peterborough   Hospitals NHS Foundation Trust,
HWS,Halton Wheelchair Service,Independent Living Centre Collier Street   Runcorn Cheshire,WA7 1HB,01928 582939,,Bridgewater Community Healthcare NHS trust,Halton CCG and St Helens CCG,
ECWCS,East Cheshire Wheelchair Service,Congleton War Memorial Hospital Canal Road   Congleton Cheshire,CW12 3AR,01625 663345,01625 663486,East Cheshire NHS Trust,East Cheshire NHS Trust,ecn-tr.WAC@nhs.net
STWS,Stockport Wheelchair Service,1st Floor Kingsgate House Wellington Road  North   Stockport Cheshire,SK4 1LW,0161 426 5454,0161 426 5459,NHS Stockport,NHS Stockport,
WCWS,West Cheshire Wheelchair Service,Poole Centre New Grosvenor Road   Ellesmere Port Cheshire,CH65 2HB,0151 357 1070,0151 356 2984,Wirral Community NHS Trust,West Cheshire CCG,
WPWS,West Pennine Wheelchair Service,Tameside and Glossop Community Business Group Unit 8 Hyde Point Industrial Estate Dunkirk Lane  Hyde Cheshire,SK14 4NL,0161 335 2800,0161 335 2812,Stockport Foundation Trust,Stockport Foundation Trust,
WAWS,Warrington Wheelchair Service,226A Europa Boulevard Westbrook   Warrington Cheshire,WA5 7TN,01925 251445,01925 251446,Bridgewater Community Healthcare NHS Trust,Warrington CCG,wheels@warrington-pct.nhs.uk
HAWS,Hartlepool Wheelchair Service,Wheelchair Service University Hospital of Hartlepool Holdforth Road  Hartlepool County Durham,TS24 9AH,01429 522969,01429 522993,North Tees and Hartlepool Foundation Trust,North Tees and Hartlepool CCG,judith.ruddle@nth.nhs.uk
PENWS,Peninsula Community Health Wheelchair Service,Camborne and Redruth Community Hospital Barncoose Terrace   Redruth Cornwall,TR153ER,01209 318122,,Peninsula Community Health,Kernow CCG,refs.whchs@cornwall.nhs.uk
RDSW,Regional Disablement Services Wheelchair Centre,Musgrave Park Hospital Stockmans Lane   Belfast County Antrim,BT9 7JB,028 950 41747,028 9090 2721,Belfast Health and Social Care Trust,Health and Social Care Board,
IRWS,Regional Wheelchair Service,Strand House 102 Holywood Road   Belfast County Antrim,BT4 1NU,028 9056 3545,,South & East Belfast HSS Trust,South & East Belfast HSS Trust,
